item_id,title,difficulty
184,Cost Accounting,Beginner
185,Cost and Economics in Pricing Strategy,Beginner
186,Country Level Economics: Macroeconomic Variables and Markets,Intermediate
187,Crash Course on Python,Beginner
188,Create High-Fidelity Designs and Prototypes in Figma,Beginner
189,Creating Business Value with Data and Looker,Intermediate
190,Creative Thinking: Techniques and Tools for Success,Beginner
191,Creative Writing,Beginner
192,Creative Writing: The Craft of Plot,Mixed
193,Creativity and AI,Intermediate
194,Cryptography I,Mixed
195,Cultural Competence - Aboriginal Sydney,Beginner
196,Culture-Driven Team Building,Beginner
197,Curanderismo: Traditional Healing Using Plants,Beginner
198,"Custom Models, Layers, and Loss Functions with TensorFlow",Intermediate
199,Customer Analytics,Mixed
200,Customer Experiences with Contact Center AI - Dialogflow CX,Beginner
201,Customer Experiences with Contact Center AI - Dialogflow ES,Intermediate
202,Customer Service Fundamentals,Beginner
203,Cyber Security Fundamentals,Beginner
204,Cybersecurity,Intermediate
205,Cybersecurity Attack and Defense Fundamentals,Beginner
206,Cybersecurity Compliance Framework & System Administration,Beginner
207,Cybersecurity Operations Fundamentals,Beginner
208,Cybersecurity Risk Management Frameworks,Beginner
209,"Cybersecurity Roles, Processes & Operating System Security",Beginner
210,Cybersecurity for Everyone,Beginner
211,Cybersécurité Google,Beginner
212,Data Analysis and Presentation Skills: the PwC Approach,Beginner
213,Data Analysis and Visualization Foundations,Beginner
214,Data Analysis with Python,Beginner
215,Data Analysis with R,Beginner
216,Data Analysis with R Programming,Beginner
217,Data Analytics in the Public Sector with R,Intermediate
218,Data Engineering Foundations,Beginner
219,"Data Engineering, Big Data, and Machine Learning on GCP",Intermediate
220,Data Literacy,Beginner
221,Data Management for Clinical Research,Beginner
222,Data Mining,Intermediate
223,Data Science,Beginner
224,Data Science Foundations: Statistical Inference,Intermediate
225,Data Science Fundamentals with Python and SQL,Beginner
226,Data Science Math Skills,Beginner
227,Data Science Methodology,Beginner
228,Data Science with Databricks for Data Analysts,Intermediate
229,Data Science: Foundations using R,Beginner
230,Data Science: Statistics and Machine Learning,Intermediate
231,Data Structures and Algorithms,Intermediate
232,Data Visualization & Dashboarding with R,Beginner
233,Data Visualization and Dashboards with Excel and Cognos,Beginner
234,Data Visualization with Python,Intermediate
235,Data Visualization with Tableau,Beginner
236,Data Warehousing for Business Intelligence,Advanced
237,Data-driven Decision Making,Beginner
238,Databases and SQL for Data Science with Python,Beginner
239,Decentralized Finance (DeFi): The Future of Finance,Intermediate
240,"Decisions, Decisions: Dashboards and Reports",Advanced
241,Deep Learning,Intermediate
242,Deep Neural Networks with PyTorch,Intermediate
243,DeepLearning.AI TensorFlow Developer,Intermediate
244,Deploying Machine Learning Models in Production,Advanced
245,Desarrollador front-end de Meta,Beginner
246,Design Thinking,Beginner
247,Design a User Experience for Social Good & Prepare for Jobs,Beginner
248,Design and Interpretation of Clinical Trials,Mixed
249,DevOps on AWS,Intermediate
250,"DevOps, Cloud, and Agile Foundations",Beginner
251,Developing AI Applications with Python and Flask,Intermediate
252,Developing APIs with Google Cloud's Apigee API Platform,Intermediate
253,Developing Applications with Google Cloud,Intermediate
254,Developing Front-End Apps with React,Intermediate
255,Devenir entrepreneur du changement,Mixed
256,Digital Fashion Innovation,Intermediate
257,Digital Health,Intermediate
258,Digital Manufacturing & Design Technology,Beginner
259,Digital Marketing,Beginner
260,Digital Marketing Strategy and Planning,Beginner
261,Digital Product Management,Beginner
262,Digital Product Management: Modern Fundamentals,Beginner
263,Digital Signal Processing,Intermediate
264,Digital Technologies and the Future of Manufacturing,Beginner
265,Digital Transformation Using AI/ML with Google Cloud,Beginner
266,Digitalisation in Aeronautics and Space,Intermediate
267,Dino 101: Dinosaur Paleobiology,Beginner
268,Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Beginner
269,Diseño de Experiencia del Usuario (UX) de Google,Beginner
270,Diversity and inclusion in the workplace,Beginner
271,Diversité et inclusion sur le lieu de travail,Beginner
272,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Intermediate
273,Django for Everybody,Intermediate
274,Dog Emotion and Cognition,Mixed
275,Driving business towards the Sustainable Development Goals,Beginner
276,Drug Development Product Management,Beginner
277,Drug Discovery,Beginner
278,Dynamic Public Speaking,Beginner
279,ESG Risks and Opportunities,Beginner
280,Economics of Money and Banking,Mixed
281,"Effective Communication: Writing, Design, and Presentation",Beginner
282,Electric Industry Operations and Markets,Beginner
283,Electronic Music Production,Intermediate
284,Embedding Sensors and Motors,Intermediate
285,Emotional Intelligence: Cultivating Immensely Human Interactions,Intermediate
286,"Energy Production, Distribution & Safety",Beginner
287,Engineering Project Management,Beginner
288,English for Business and Entrepreneurship,Beginner
289,English for Career Development,Mixed
290,English for Journalism,Mixed
291,Entrepreneurial Finance: Strategy and Innovation,Intermediate
292,Entrepreneurship,Beginner
293,Entrepreneurship 1: Developing the Opportunity,Mixed
294,Entrepreneurship Strategy: From Ideation to Exit,Beginner
295,Entrepreneurship: Growing Your Business,Beginner
296,Epidemiology in Public Health Practice,Beginner
297,Equine Welfare and Management,Beginner
298,Essentials in Clinical Simulations Across the Health Professions,Intermediate
299,Essentials of Global Health,Mixed
300,Ethical Leadership,Beginner
301,"Ethics, Technology and Engineering",Beginner
302,European Business Law,Beginner
303,Evaluations of AI Applications in Healthcare,Beginner
304,Everyday Excel,Beginner
305,"Everyday Excel, Part 1",Beginner
306,Everyday Parenting: The ABCs of Child Rearing,Beginner
307,Exam Prep MLS-C01: AWS Certified Specialty Machine Learning,Beginner
308,Excel Basics for Data Analysis,Beginner
309,Excel Fundamentals for Data Analysis,Intermediate
310,Excel Skills for Business,Beginner
311,Excel Skills for Business: Essentials,Beginner
312,Excel Skills for Business: Intermediate I,Intermediate
313,Excel Skills for Data Analytics and Visualization,Intermediate
314,Excel for Beginners: Introduction to Spreadsheets,Beginner
315,Excel for Beginners: Pivot Tables,Beginner
316,Excel to MySQL: Analytic Techniques for Business,Beginner
317,Excel/VBA for Creative Problem Solving,Beginner
318,Executive Data Science,Beginner
319,Exploratory Data Analysis for Machine Learning,Intermediate
320,Expressway to Data Science: Essential Math,Intermediate
321,Expressway to Data Science: Python Programming,Beginner
322,Extended Reality for Everybody,Beginner
323,"Extract, Transform and Load Data in Power BI",Beginner
324,FPGA Design for Embedded Systems,Intermediate
325,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",Intermediate
326,"FinTech: Foundations, Payments, and Regulations",Beginner
327,Finance & Quantitative Modeling for Analysts,Beginner
328,Finance for Non-Finance Professionals,Beginner
329,Finance for Non-Financial Managers,Intermediate
330,Finance for Technical Managers,Beginner
331,Financial Accounting Fundamentals,Beginner
332,Financial Acumen for Non-Financial Managers,Beginner
333,Financial Analysis - Skills for Success,Beginner
334,Financial Engineering and Risk Management,Intermediate
335,Financial Management,Intermediate
336,Financial Markets,Beginner
337,Financial Planning for Young Adults,Beginner
338,Financial Reporting,Intermediate
339,Financial Technology (Fintech) Innovations,Beginner
340,Financing and Investing in Infrastructure,Mixed
341,Finanzas corporativas,Intermediate
342,Finding Purpose and Meaning In Life: Living for What Matters Most,Beginner
343,Finding Your Professional Voice: Confidence & Impact,Beginner
344,Fintech: Foundations & Applications of Financial Technology,Beginner
345,First Principles of Computer Vision,Beginner
346,First Step Korean,Beginner
347,Fondamentaux de la cybersécurité,Beginner
348,Food & Beverage Management,Mixed
349,"Food Sustainability, Mindful Eating, and Healthy Cooking",Beginner
350,Forensic Accounting and Fraud Examination,Mixed
351,Formal Financial Accounting,Beginner
352,Foundational Finance for Strategic Decision Making,Beginner
353,Foundations for Assisting in Home Care,Mixed
354,Foundations of Business Intelligence,Advanced
355,Foundations of Business Strategy,Beginner
356,Foundations of Cybersecurity,Beginner
357,Foundations of Data Science,Advanced
358,Foundations of Data Structures and Algorithms,Advanced
359,Foundations of Digital Marketing and E-commerce,Beginner
360,Foundations of Management,Beginner
361,Foundations of Positive Psychology,Beginner
362,Foundations of Project Management,Beginner
363,Foundations of Public Health Practice,Beginner
364,Foundations of Software Testing and Validation,Beginner
365,Foundations of Teaching for Learning: Introduction,Mixed
366,Foundations of User Experience (UX) Design,Beginner
367,"Foundations: Data, Data, Everywhere",Beginner
368,Fractal Data Science,Beginner
369,From Data to Insights with Google Cloud,Beginner
370,From Excel to Power BI,Beginner
371,From Likes to Leads: Interact with Customers Online,Beginner
372,Functional Programming in Scala,Intermediate
373,Fundamentals of Accounting,Beginner
374,Fundamentals of Computing,Beginner
375,Fundamentals of Engineering Exam Review,Mixed
376,Fundamentals of Finance,Beginner
377,Fundamentals of Flight mechanics,Beginner
378,Fundamentals of GIS,Beginner
379,Fundamentals of Graphic Design,Beginner
380,Fundamentals of Immunology,Intermediate
381,Fundamentals of Machine Learning for Healthcare,Beginner
382,Fundamentals of Music Theory,Beginner
383,Fundamentals of Project Planning and Management,Beginner
384,Fundamentals of Quantitative Modeling,Mixed
385,Fundamentals of Reinforcement Learning,Intermediate
386,Fundamentals of Social Media Advertising,Beginner
387,Fundamentals of Technology Sales,Beginner
388,Fundamentos de la ciberseguridad,Beginner
389,Fundamentos de la gestión de proyectos,Beginner
390,Fundamentos del marketing digital y comercio electrónico,Beginner
391,Fundraising and Development,Beginner
392,Futures Thinking,Beginner
393,"GIS, Mapping, and Spatial Analysis",Beginner
394,GPU Programming,Intermediate
395,Game Design and Development with Unity 2020,Beginner
396,Game Design: Art and Concepts,Beginner
397,Game Theory,Beginner
398,Gamification,Mixed
399,Generative AI Primer,Beginner
400,Generative AI for Everyone,Beginner
401,Generative AI with Large Language Models,Intermediate
402,Generative Adversarial Networks (GANs),Intermediate
403,Genomic Data Science,Intermediate
404,Geographic Information Systems  (GIS),Beginner
405,Gestion de projet de Google,Beginner
406,Gestión de Proyectos de Google,Beginner
407,Get Started with Python,Advanced
408,Getting Started with AI using IBM Watson,Beginner
409,Getting Started with Git and GitHub,Beginner
410,Getting Started with Power BI Desktop,Beginner
411,Getting Started with SAS Programming,Beginner
412,Getting started with Google Workspace,Beginner
413,Giving Helpful Feedback,Beginner
414,Global Diplomacy – Diplomacy in the Modern World,Mixed
415,Global Diplomacy: the United Nations in the World,Beginner
416,Global Procurement and Sourcing,Beginner
417,Go Beyond the Numbers: Translate Data into Insights,Advanced
418,Good with Words: Writing and Editing,Beginner
419,Goodwill® Career Coach and Navigator,Beginner
420,Google Advanced Data Analytics,Advanced
421,Google Business Intelligence,Advanced
422,Google Cloud Big Data and Machine Learning Fundamentals,Beginner
423,Google Cloud Database Engineer,Intermediate
424,Google Cloud Digital Leader Training,Beginner
425,Google Cloud Fundamentals: Core Infrastructure,Beginner
426,Google Cybersecurity,Beginner
427,Google Data Analytics,Beginner
428,Google Data Analytics (DE),Beginner
429,Google Data Analytics (PT),Beginner
430,Google Data Analytics Capstone: Complete a Case Study,Beginner
431,Google Digital Marketing & E-commerce,Beginner
432,Google IT Automation with Python,Beginner
433,Google IT Support,Beginner
434,Google IT Support (Deutsch),Beginner
435,Google Marketing Digital e E-Commerce,Beginner
436,Google Professional Workspace Administrator,Beginner
437,Google Project Management,Beginner
438,Google Project Management (DE),Beginner
439,Google Project Management (PT),Beginner
440,Google Project Management:,Beginner
441,Google UX Design,Beginner
442,Google UX Design (DE),Beginner
443,Google UX Design (PT),Beginner
444,Google شهادة تقنية المعلومات من,Beginner
445,Google サイバーセキュリティ,Beginner
446,Google データアナリティクス,Beginner
447,Google 데이터 애널리틱스 수료증 이수 과정,Beginner
448,Graphic Design,Beginner
449,HRCI Human Resource Associate,Beginner
450,HTML and CSS in depth,Beginner
451,"HTML, CSS, and Javascript for Web Developers",Mixed
452,Habilidades Gerenciales,Beginner
453,Hands-on Introduction to Linux Commands and Shell Scripting,Beginner
454,Harnessing the Power of Data with Power BI,Beginner
455,Healing with the Arts,Mixed
456,Health Behavior Change: From Evidence to Action,Beginner
457,Health Informatics,Beginner
458,Health Information Literacy for Data Analytics,Intermediate
459,Healthcare IT Support,Beginner
460,Healthcare Law,Intermediate
461,Healthcare Organization Operations,Beginner
462,Healthier Materials and Sustainable Building,Intermediate
463,Healthy and Sustainable Foods and Products,Intermediate
464,"Hotel Management: Distribution, Revenue and Demand Management",Beginner
465,How Things Work: An Introduction to Physics,Intermediate
466,How to Play Guitar,Beginner
467,How to Write and Publish a Scientific Paper (Project-Centered Course),Mixed
468,Human Anatomy and Medical Terminology Fundamentals,Beginner
469,Human Resource Management: HR for People Managers,Beginner
470,Human Resources Analytics,Mixed
471,IA generativa en el aula,Beginner
472,IBM & Darden Digital Strategy,Beginner
473,IBM AI Engineering,Intermediate
474,IBM AI Enterprise Workflow,Advanced
475,IBM AI Foundations for Business,Beginner
476,IBM Applied AI,Beginner
477,IBM Applied DevOps Engineering,Intermediate
478,IBM Back-End Development,Beginner
479,IBM Cybersecurity Analyst,Beginner
480,IBM Data Analyst,Beginner
481,IBM Data Analytics with Excel and R,Beginner
482,IBM Data Engineering,Beginner
483,IBM Data Science,Beginner
484,IBM Data Warehouse Engineer,Beginner
485,IBM DevOps and Software Engineering,Beginner
486,IBM Front-End Developer,Beginner
487,IBM Full Stack Software Developer,Beginner
488,IBM IT Project Manager,Beginner
489,IBM IT Scrum Master,Beginner
490,IBM IT Support,Beginner
491,IBM Introduction to Machine Learning,Intermediate
492,IBM Machine Learning,Intermediate
493,IBM Mainframe Developer,Intermediate
494,IBM Project Manager,Beginner
495,IBM z/OS Mainframe Practitioner,Intermediate
496,IELTS Preparation,Beginner
497,IT Fundamentals for Cybersecurity,Beginner
498,IT Security: Defense against the digital dark arts,Beginner
499,IT Support Google,Beginner
500,ITIL 4 Exam Preparation,Mixed
501,Immunology: The Immune System and its Failures,Intermediate
502,Impact Measurement & Management for the SDGs,Mixed
503,Improve Your English Communication Skills,Beginner
504,Improving Communication Skills,Beginner
505,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",Intermediate
506,Improving Leadership & Governance in Nonprofit Organizations,Beginner
507,In the Studio: Postwar Abstract Painting,Beginner
508,Inclusive Leadership: The Power of Workplace Diversity,Beginner
509,Indigenous Canada,Mixed
510,Industrial Biotechnology,Beginner
511,Infectious Disease Modelling,Intermediate
512,"Influencing: Storytelling, Change Management and Governance",Beginner
513,"Information Systems Auditing, Controls and Assurance",Beginner
514,Information Technology (IT) and Cloud Fundamentals,Beginner
515,Information​ ​Systems,Beginner
516,Innovation Management,Beginner
517,"Innovation Through Design: Think, Make, Break, Repeat",Beginner
518,Innovation: From Creativity to Entrepreneurship,Beginner
519,Innovative Teaching with ChatGPT,Beginner
520,Inspired Leadership,Intermediate
521,Inspiring and Motivating Individuals,Beginner
522,Instructional Design Foundations and Applications,Mixed
523,Instructional Methods in Health Professions Education,Intermediate
524,Integrative Health and Medicine,Beginner
525,Integrative Nursing,Beginner
526,Intellectual Property Law,Intermediate
527,Interaction Design,Intermediate
528,International Business Essentials,Intermediate
529,International Humanitarian Law in Theory and Practice,Beginner
530,International Law In Action: Investigating and Prosecuting International Crimes,Mixed
531,International Law in Action: the Arbitration of International Disputes,Mixed
532,International Leadership and Organizational Behavior,Mixed
533,International Marketing & Cross Industry Growth,Beginner
534,International Organizations Management,Beginner
535,International Women's Health and Human Rights,Beginner
536,Interviewing and Resume Writing in English,Intermediate
537,Introducción a la programación en Python I: Aprendiendo a programar con Python,Beginner
538,Introduction to AI in the Data Center,Beginner
539,Introduction to Agile Development and Scrum,Beginner
540,Introduction to Artificial Intelligence (AI),Beginner
541,Introduction to Back-End Development,Beginner
542,"Introduction to Biology: Ecology, Evolution, & Biodiversity",Beginner
543,Introduction to Business,Beginner
544,Introduction to Calculus,Intermediate
545,Introduction to Chemistry:  Reactions and Ratios,Beginner
546,Introduction to Clinical Data,Beginner
547,Introduction to Cloud Computing,Beginner
548,Introduction to Computer Science and Programming,Beginner
549,Introduction to Computer Vision and Image Processing,Beginner
550,Introduction to Computers and Operating Systems and Security,Beginner
551,Introduction to Corporate Finance,Mixed
552,Introduction to Cyber Security,Beginner
553,Introduction to Cybersecurity Tools & Cyber Attacks,Beginner
554,Introduction to Data Analytics,Beginner
555,Introduction to Data Engineering,Beginner
556,Introduction to Data Science,Beginner
557,Introduction to Data Science in Python,Intermediate
558,Introduction to Deep Learning & Neural Networks with Keras,Intermediate
559,Introduction to Dental Medicine,Beginner
560,Introduction to DevOps,Beginner
561,Introduction to Discrete Mathematics for Computer Science,Beginner
562,Introduction to Electronics,Mixed
563,Introduction to Embedded Systems Software and Development Environments,Intermediate
564,Introduction to Engineering Mechanics,Mixed
565,Introduction to English Common Law,Beginner
566,Introduction to Environmental Law and Policy,Mixed
567,Introduction to Environmental Science,Beginner
568,Introduction to Finance and Accounting,Beginner
569,Introduction to Finance: The Basics,Beginner
570,Introduction to Financial Accounting,Mixed
571,Introduction to Financial Accounting: The Accounting Cycle,Beginner
572,"Introduction to Financial Analysis - The ""Why?""",Beginner
573,Introduction to Financial Engineering and Risk Management,Intermediate
574,Introduction to Forensic Science,Mixed
575,Introduction to Front-End Development,Beginner
576,Introduction to Generative AI,Beginner
577,Introduction to Git and GitHub,Beginner
578,Introduction to Good Clinical Practice,Beginner
579,Introduction to Google SEO,Beginner
580,Introduction to Hardware and Operating Systems,Beginner
581,Introduction to Healthcare,Beginner
582,Introduction to Industrial Bioprocess Development,Beginner
583,Introduction to Large Language Models,Beginner
584,Introduction to Logic and Critical Thinking,Beginner
585,Introduction to Machine Learning,Intermediate
586,Introduction to Machine Learning in Production,Advanced
587,Introduction to Marketing,Mixed
588,Introduction to Mathematical Thinking,Intermediate
589,Introduction to Microsoft Azure Cloud Services,Beginner
590,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Mixed
591,Introduction to Operations Management,Beginner
592,Introduction to Philosophy,Mixed
593,Introduction to Probability and Data with R,Beginner
594,Introduction to Programming with MATLAB,Beginner
595,Introduction to Programming with Python and Java,Beginner
596,Introduction to Project Management,Beginner
597,Introduction to Psychology,Mixed
598,Introduction to Public Relations and the Media,Beginner
599,Introduction to Python Programming,Beginner
600,Introduction to Responsible AI,Beginner
601,Introduction to Scripting in Python,Beginner
602,Introduction to Scrum Master Training,Beginner
603,Introduction to Self-Driving Cars,Advanced
604,Introduction to Social Media Marketing,Beginner
605,Introduction to Software Engineering,Beginner
606,Introduction to Spreadsheets and Models,Mixed
607,Introduction to Statistics,Beginner
608,Introduction to Sustainability,Mixed
609,Introduction to Systematic Review and Meta-Analysis,Mixed
610,Introduction to Systems Engineering,Mixed
611,Introduction to Technical Support,Beginner
612,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Intermediate
613,Introduction to User Experience Design,Beginner
614,Introduction to Web Development,Beginner
615,"Introduction to Web Development with HTML, CSS, JavaScript",Beginner
616,Introductory C Programming,Beginner
617,Introductory Human Physiology,Beginner
618,Intuit Academy Bookkeeping,Beginner
619,Investment Management,Beginner
620,Investment Management with Python and Machine Learning,Beginner
621,Java FullStack Developer,Intermediate
622,Java Programming and Software Engineering Fundamentals,Beginner
623,JavaScript for Beginners,Beginner
624,Key Technologies for Business,Beginner
625,Leadership Skills,Beginner
626,Leadership in 21st Century Organizations,Mixed
627,Leading Diverse Teams & Organizations,Beginner
628,Leading Healthcare Quality and Safety,Beginner
629,Leading People and Teams,Beginner
630,Leading the Modern Day Business,Beginner
631,Leading: Human Resource Management and Leadership,Intermediate
632,Learn Chinese: HSK Test Preparation,Beginner
633,Learn English: Advanced Academic Speaking and Listening,Intermediate
634,Learn English: Advanced Grammar and Punctuation,Advanced
635,Learn English: Beginning Grammar,Beginner
636,Learn English: Intermediate Grammar,Intermediate
637,Learn SQL Basics for Data Science,Beginner
638,Learn Spanish: Basic Spanish Vocabulary,Beginner
639,Learn to Program: The Fundamentals,Beginner
640,Learn to Speak Korean 1,Beginner
641,Learning How to Learn: Powerful mental tools to help you master tough subjects,Beginner
